name,context,question,answer
Aaron_Cash_,"Aaron Cash was a security guard in Arkham Asylum during a riot. Killer Croc broke loose during the proceedings and bit off Cash's left hand. Cash admits Croc is the only inmate of the Asylum he fears, and that's why Cash requested to be transferred to Croc's guard detail: to master that fear.",Where did Aaron Cash work ?,Arkham Asylum
Alec_Holland_,"Alec Holland is Swamp Thing, the champion of the Parliament of Trees. He has control of all plant life in the universe due to his link to a force that connects all plant life known as the Green. After a conflict between men and the planet itself, he now leads his own children in a quest to reconnect with humanity.",What is Swamp Thing’s real name ?,Alec Holland
Alec_Holland_,"Alec Holland is Swamp Thing, the champion of the Parliament of Trees. He has control of all plant life in the universe due to his link to a force that connects all plant life known as the Green. He has been a member of the Justice League as well as its mystic division the Justice League Dark.",What are Swamp Things’s powers ? ,Control of all plant life in the universe
Alexa_Antigone_,"Alexa Antigone, also known as  Fuerza, hails from the South American nation of Corto Maltese, where she is an anarchist who battles against her corrupt government. She is a conduit of the mysterious cosmic force known as the Strength Force, which provides her with a vast assortment of powers to wage her war on corruption. Although they clashed initially, she eventually teams up with the Flash to take on the corrupt police force of Corto Maltese, and better understand their connections to the Strength and Speed Forces respectively.",What are Alexa Antigone’s powers ?,The mysterious cosmic force know as the Strength Force
Alfred_Pennyworth_,"Alfred Pennyworth was the polite, kind, and loyal butler to the Wayne family. After the Waynes' tragic demise at the hands of an armed mugger, Alfred continued to raise young Bruce who later became the vigilante Batman. He assisted Bruce as the Batman in his seemingly endless war on crime, and acted as a father figure to him, and his various compatriots, on several occasions.",Who did Alfred Pennyworth raise ?,Bruce Wayne
Amenadiel_,"Amenadiel is an Archangel of God, who was sent to convince Lucifer Morningstar to return to Hell, after Lucifer abdicated his throne and began operating a nightclub in Los Angeles. On Earth, Amenadiel fell in love with Dr. Linda Martin, and together, they had a son, the Nephilim Charlie. After his father retired, Amenadiel took his place in Heaven as the new God.",Why was Amenadiel sent to Earth ?,To convince Lucifer Morningstar to return to hell
Andrew_Nolan_,"This version of Andrew Nolan is one of the Batch SW6 Legionnaires, a young version of the Legion's existing deceased Andrew Nolan introduced during the ""Five Years Later"" era. Batch SW6 were originally believed to be clones created by the Dominators, but later revealed as time-paradox duplicates engineered by the Time Trapper. The events of Zero Hour erased them and their adult counterparts, replacing them with the Reboot Legion.",By who were the SW6 Legionnaires replaced ?,Reboot Legion
Angel_O'Day_,"Angel O'Day is the daughter of famed adventurer Professor Theo O'Day, and one half of O'Day and Simeon Private Investigations. Angel's father later married the retired super-heroine called Princess Power, and their common child was the super-strong but mentally deficient girl Athena Tremor, later known as Dumb Bunny of the Inferior Five.",Who did Princess Power marry ? ,Angel O’Day’s father
Aquaman_,"Arthur Curry is Aquaman, an adventurer who is half-human and half-Atlantean. This gives him a variety of powers including superhuman strength, telepathic control over marine life, and the ability to survive both in water and on land. He belongs to the royal family of Atlantis, and normally acts as their king. His romantic partner is the princess Mera of Xebel. He is a founding member of two superhero teams, the world-famous Justice League and the clandestine Others.",Is Arthur Curry human ?,Half-human and half-Atlantean
Artemis_,"For the Amazon member of the Outlaws, see Artemis of Bana-Mighdall (Prime Earth).For the Greek goddess, see Artemis, Goddess of the Hunt (Prime Earth).For the super-villain Tigress, see Artemis Crock (Prime Earth).
Artemis is among the teenagers captured by N.O.W.H.E.R.E. to compete in the Culling orchestrated by the being known as Harvest.",How many characters are called Artemis ?,Three
Artemis_of_Bana-Mighdall_,"Artemis is an Amazon of Bana-Mighdall who left home to recover the Bow of Ra. During her journey she teamed up with Red Hood and  Bizarro to defeat Black Mask. They decided to aid Artemis in her quest to recover the bow, and the three came to be known as the Outlaws.",Who are Artemis’ teammates ?,Red Hood and Bizarro
Augustus_Freeman_,"Arnus of Terminus is a marooned alien negotiator. After crashing in the Deep South in 1839, he worked himself up from slave to Union soldier to lawyer and was involved in much of Black history. He developed the persona of Augustus Freeman, posing as his own son four times. When he met young Raquel, she convinced him to become a superhero, an Icon for the black community of Dakota City.",For what community is Amus of Terminus an icon ?,The black community of Dakota City
Avery_Ho_,"Avery Ho is the superhero known as The Flash, and a member of the Global Guardians. When her fellow speedster Wally West was possessed by a mysterious entity, he absorbed the Flash Family's powers and killed Avery's best friend Wallace. Avery worked with the Family to use their Rogue's gadgets in order to take down their former friend.",How did Avery Ho’s best friend wallace die ?,Wallace was killed by the speedster Wally West when he was possessed by a musterious entity
Ayla_Ranzz_,"Ayla Ranzz alias Lightning Lass hails from the farming planet Winath, she is the twin sister of fellow Legion of Super-Heroes member Lightning Lad (Garth Ranzz) and the younger sister of the villainous Lightning Lord (Mekt Ranzz). Ayla joined the Legion to honour her then-dead brother whom she's very closer to, even if it annoys her that Garth doesn't even realize when he's bossing her around.[1]",Why did Ayla Ranzz join the Legion of Super-Heroes ?,To honor her twin brother Garth Ranzz
Ayla_Ranzz_,"This version of Ayla Ranzz is one of the Batch SW6 Legionnaires, a younger version of the Legion's existing adult Ayla Ranzz introduced during the ""Five Years Later"" era. Batch SW6 were originally believed to be clones created by the Dominators, but later revealed as time-paradox duplicates engineered by the Time Trapper. The events of Zero Hour erased them and their adult counterparts, replacing them with the Reboot Legion.",What characters were erased during the events of Zero Hour ?,The Legion of Super-Heroes and a younger version of the team named the Batch SW6 Legionnaires.
Barbara_Gordon_,"Barbara Gordon was the first Batgirl, a teenage vigilante inspired by Batman but also her foster father, Police Commissioner Jim Gordon. A life-changing encounter with the Joker made her lose the use of her legs, but she didn't let that stop her. Using her skills with the computer, she became Oracle, the premiere supplier of information for all heroes, and the founder of the Birds of Prey.",What are Barbara Gordon’s superhero names ?,Batgirl and Oracle
